"Sistema / Jogo","Categoria","Subgênero","Já li?","Status da leitura","Já joguei?","Quero jogar?","Prioridade","Grupo / Jogadores","Quando jogar","Status da mesa","Mestre","Observações","_Score recomendação","_Prontidão","_Próxima ação"
"Vampiro: A Mascara 5° Edição","Horror","Horror Pessoal","FALSE","Não iniciado","FALSE","FALSE","","","","","","","20","Avaliar interesse","Marcar Quero jogar? se interessar"
"Lobisomem: O Apocalipse 5° Edição","Horror","Horror Pessoal","FALSE","Não iniciado","FALSE","FALSE","","","","","","","20","Avaliar interesse","Marcar Quero jogar? se interessar"
"Caçador: A Revanche 5° Edição","Horror","Horror Pessoal","FALSE","Não iniciado","FALSE","FALSE","","","","","","","20","Avaliar interesse","Marcar Quero jogar? se interessar"
"Mago: A Ascenção 3° Edição","Fantasia","Fantasia Urbana","TRUE","Lido","TRUE","FALSE","","","","","","","10","Regras lidas; avaliar interesse","Marcar Quero jogar? se interessar"
"Changeling: O Sonhar (1ª edição)","Fantasia","Fantasia Urbana","TRUE","Lido","TRUE","FALSE","","","","","","","10","Regras lidas; avaliar interesse","Marcar Quero jogar? se interessar"
"Demônio: A Queda (3ª edição)","Horror","Horror Pessoal","FALSE","Não iniciado","FALSE","FALSE","","","","","","","20","Avaliar interesse","Marcar Quero jogar? se interessar"
"Chamado de Cthulhu (7ª edição)","Horror","Horror Cósmico","FALSE","Não iniciado","FALSE","FALSE","","","","","","","20","Avaliar interesse","Marcar Quero jogar? se interessar"
"The Expanse","Ficção Científica","Ficção Científica (Hard Sci-Fi)","FALSE","Não iniciado","FALSE","FALSE","","","","","","","20","Avaliar interesse","Marcar Quero jogar? se interessar"
"Dungeons & Dragons (3.5)","Fantasia","Alta Fantasia","TRUE","Lido","TRUE","FALSE","","","","","","","10","Regras lidas; avaliar interesse","Marcar Quero jogar? se interessar"
"Old Dragon (1ª edição)","Fantasia","Espada e Feitiçaria","FALSE","Não iniciado","FALSE","FALSE","","","","","","","20","Avaliar interesse","Marcar Quero jogar? se interessar"
"Ryuutama","Alternativo","Viagem e Aconchego (Cozy / Slice of Life)","FALSE","Não iniciado","FALSE","FALSE","","","","","","","20","Avaliar interesse","Marcar Quero jogar? se interessar"
"Xas Irkalla","Horror","Survival Horror","TRUE","Lido","FALSE","FALSE","","","","","","","50","Regras lidas; avaliar interesse","Marcar Quero jogar? se interessar"
"Mörk Borg","Fantasia","Fantasia Sombria (Grimdark)","FALSE","Não iniciado","FALSE","FALSE","","","","","","","20","Avaliar interesse","Marcar Quero jogar? se interessar"
"Blue Rose","Fantasia","Alta Fantasia","FALSE","Lendo","FALSE","TRUE","Alta","Adriana, Marcelo, Joaquim, Amanda","","Ideia","Rogério","","180","Ler antes de jogar","Priorizar leitura"
"O Mundo das Trevas (1ª edição / Novo MdT)","Moderno","Investigação e Mistério","FALSE","Não iniciado","FALSE","FALSE","","","","","","","20","Avaliar interesse","Marcar Quero jogar? se interessar"
"Vampiro: O Réquiem (1ª edição)","Horror","Horror Pessoal","FALSE","Não iniciado","FALSE","FALSE","","","","","","","20","Avaliar interesse","Marcar Quero jogar? se interessar"
"Lobisomem: Os Destituídos (1ª edição)","Horror","Horror Pessoal","FALSE","Não iniciado","FALSE","FALSE","","","","","","","20","Avaliar interesse","Marcar Quero jogar? se interessar"
"Mago: O Despertar (1ª edição)","Fantasia","Fantasia Urbana","FALSE","Não iniciado","FALSE","FALSE","","","","","","","20","Avaliar interesse","Marcar Quero jogar? se interessar"
"Changeling: Os Perdidos (1ª edição)","Horror","Horror Pessoal","FALSE","Não iniciado","FALSE","FALSE","","","","","","","20","Avaliar interesse","Marcar Quero jogar? se interessar"
"Alien","Horror","Survival Horror","FALSE","Não iniciado","FALSE","FALSE","","","","","","","20","Avaliar interesse","Marcar Quero jogar? se interessar"
"Tales From The Loop","Moderno","Investigação e Mistério","FALSE","Não iniciado","FALSE","FALSE","","","","","","","20","Avaliar interesse","Marcar Quero jogar? se interessar"
"Mutantes e Malfeitores 3°ed","Alternativo","Super-Heróis","FALSE","Não iniciado","FALSE","FALSE","","","","","","","20","Avaliar interesse","Marcar Quero jogar? se interessar"
"Dragon Age","Fantasia","Fantasia Sombria (Grimdark)","FALSE","Não iniciado","FALSE","FALSE","","","","","","","20","Avaliar interesse","Marcar Quero jogar? se interessar"
"Conspirações","Moderno","Investigação e Mistério","FALSE","Não iniciado","FALSE","FALSE","","","","","","","20","Avaliar interesse","Marcar Quero jogar? se interessar"
"Rastro de Cthulhu","Horror","Horror Cósmico","FALSE","Não iniciado","FALSE","FALSE","","","","","","","20","Avaliar interesse","Marcar Quero jogar? se interessar"
"Katana-Ra","Ficção Científica","Cyberpunk","FALSE","Não iniciado","FALSE","FALSE","","","","","","","20","Avaliar interesse","Marcar Quero jogar? se interessar"
"Achtung! Cthulhu","Horror","Horror Cósmico","FALSE","Não iniciado","FALSE","FALSE","","","","","","","20","Avaliar interesse","Marcar Quero jogar? se interessar"
